publication_id,title,authors,year,journal,doi,pmid,pmcid,enrichment_status,publisher_url,pdf_url,notes
124,Viral dynamics and CD4+ T cell counts in subtype C human immunodeficiency virus type 1-infected individuals from southern Africa,"Gray CM, Williamson C, Bredell H, Puren A, Xia X, Filter R, Zijenah L, Cao H, Morris L, Vardas E, Colvin M, Gray G, McIntyre J, Musonda R, Allen S, Katzenstein D, Mbizo M, Kumwenda N, Taha T, Karim SA, Flores J, Sheppard HW",2005,AIDS Res Hum Retroviruses,10.1089/aid.2005.21.285,15943570,,full,https://doi.org/10.1089/aid.2005.21.285,,Manual retrieval required - no open-access source found
125,"Affordable, abbreviated Roche monitor HIV-1RNA viral load assay","Fiscus SA, Chen S, Hoover D, Kerkau MG, Alabanza P, Siharath S, Schmitz J, Kumwenda N, Taha TE",2005,Journal of Clinical Microbiology,,,,not_found,,,Not found in Crossref / PubMed
126,Timing of maternal and neonatal dosing of nevirapine and the risk of mother-to-child transmission of HIV-1: HIVNET 024,"Chi BH, Wang L, Read JS, Sheriff M, Fiscus S, Brown ER, Taha TE, Valentine M, Goldenberg R",2005,AIDS,10.1097/01.aids.0000189863.82429.2f,16227794,,full,https://doi.org/10.1097/01.aids.0000189863.82429.2f,,Manual retrieval required - no open-access source found
127,"Prevalence and correlates of Chlamydia trachomatis, Neisseria gonorrhoeae, Trichomonas vaginalis infections, and bacterial vaginosis among a Cohort of young Injection Drug Users in Baltimore, Maryland","Plitt SS, Garfein RS, Gaydos CA, Strathdee S, Sherman SG, Taha TE",2005,Sexually Transmitted Diseases,10.1097/01.olq.0000154567.21291.59,15976603,,full,https://doi.org/10.1097/01.olq.0000154567.21291.59,,Manual retrieval required - no open-access source found
128,Nevirapine (NVP) resistance in women with subtype C compared to subtypes A and D after single dose NVP,"Eshleman SH, Hoover DR, Chen S, Hudelson SE, Guay LA, Mwatha A, Mmiro F, Musoke P, Jackson JB, Kumwenda N, Taha T",2005,Journal of Infectious Diseases,10.1086/430764,15942891,,full,https://doi.org/10.1086/430764,,Manual retrieval required - no open-access source found
129,"Safety, acceptability and potential efficacy of a topical penile microbicide wipe","Taha TE, Kumwenda N, Mwakomba A, Mwenda R, Kawonga H, Nyasulo P, Soko D, Chen S, Hoover D, Kafulafula G",2005,Journal of Acquired Immune Deficiency Syndromes,10.1097/01.qai.0000148080.61202.70,15980697,,full,https://doi.org/10.1097/01.qai.0000148080.61202.70,,Manual retrieval required - no open-access source found
130,Epidemiology and microbiology of subclinical mastitis among human immunodeficiency virus-infected women in Malawi,"Nussenblatt V, Lema V, Kumwenda N, Broadhead R, Neville MC, Taha TE, Semba RD",2005,International Journal of STD & AIDS,10.1258/0956462053420248,15829023,,full,https://doi.org/10.1258/0956462053420248,,Manual retrieval required - no open-access source found
132,Systemic inflammation is associated with lower plasma nut not lower breast milk retinol concentration among breastfeeding women in Malawi,"Dancheck B, Nussenblatt V, Ricks MO, Kumwenda N, Neville MC, Moncreif DT, Taha TE, Semba RD",2005,Journal of Nutrition,10.1093/jn/135.2.223,15671217,,full,https://doi.org/10.1093/jn/135.2.223,,Manual retrieval required - no open-access source found
133,Gender differences in perinatal HIV acquisition among African infants,"Taha TE, Nour S, Kumwenda NI, Broadhead RL, Fiscus SA, Kafulafula G, Nkhoma C, Chen S, Hoover DR",2005,Pediatrics,10.1542/peds.2004-1590,15687425,,full,https://doi.org/10.1542/peds.2004-1590,,Manual retrieval required - no open-access source found
134,Nonoxynol-9 100mg Gel: Multi-site Safety Study from Sub-Saharan Africa,"Hoffman IF, Taha TE, Padian N, Kelly C, Welch JD, Matinson FEA, Kumwenda N, Mutevedzi T, Rosenberg ZF, Chilangozi DA, Gibbons A, Brown J, Chirenje M, Richardson BA",2004,AIDS,,,,not_found,,,Not found in Crossref / PubMed
135,Hematological changes among children who received short-term prophylaxis with nevirapine and zidovudine at birth,"Taha TE, Kumwenda N, Kafulafula G, Kumwenda J, Chitale, R, Nkhoma C, Katundu P, Mukiibi J, Miotti P, Hoover D, Broadhead R",2004,Annals of Tropical Paediatrics,10.1179/027249304225019127,15720887,,full,https://doi.org/10.1179/027249304225019127,,Manual retrieval required - no open-access source found
136,Malnutrition and the Severity of Lung Disease in Adults with Pulmonary Tuberculosis in Malawi,"Van Lettow M, Kumwenda JJ, Harries AD, Whalen CC, Taha TE, Kumwenda N, Kang’ombe C, Semba R",2004,Int J Tuberculosis and Lung Disease,,,,not_found,,,Not found in Crossref / PubMed
137,Novel and promiscuous CTL epitopes in conserved regions of Gag targeted by individuals with early subtype C HIV type 1 infection from Southern Africa,"Masemola AM, Mashishi TN, Khoury G, Bredell H, Paximadus M, Mathebula T, Barkhan D, Puren A, Vardas E, Colvin M, Zijenah L, Katzenstein D, Musonda R, Allen S, Kumwenda N, Taha T, Gray G, McIntyre J, Karim SA, Sheppard HW, Gray CM, HIVNET 028 Study Team",2004,Journal of Immunology,10.4049/jimmunol.173.7.4607,15383595,,full,https://doi.org/10.4049/jimmunol.173.7.4607,https://journals.aai.org/jimmunol/article-pdf/173/7/4607/1188687/4607.pdf,PDF URL available
138,Nevirapine and zidovudine at birth to reduce transmission of HIV from mother to infant in an African setting: randomized clinical trial,"Taha TE, Kumwenda NI, Hoover DR, Fiscus SA, Kafulafula G, Nkhoma C, Nour S, Chen S, Liomba G, Miotti PG, Broadhead RL",2004,Journal of the American Medical Association,10.1001/jama.292.2.202,15249569,,full,https://doi.org/10.1001/jama.292.2.202,,Manual retrieval required - no open-access source found
141,Use of antiretroviral drugs to prevent HIV-1 transmission through breastfeeding: from animal studies to randomized clinical trials,"Gaillard P, Fowler MG, Dabis F, Coovadia H, Van der Horst C, van Rompay K, Taha TE, Thomas T, De Vincenzi I",2004,Journal of Acquired Immune Deficiency Syndromes,10.1097/00126334-200402010-00013,14722452,,full,https://doi.org/10.1097/00126334-200402010-00013,,Manual retrieval required - no open-access source found
142,Use of a Short Post-Exposure Prophylaxis to the Newborn-only to Reduce Transmission of HIV from Mother to Infant: The NVAZ Randomized Clinical Trial,"Taha TE, Kumwenda N, Gibbons A, Broadhead RL, Fiscus S, Lema V, Liomba G, Nkhoma C, Miotti PG, Hoover DR",2003,Lancet,,,,not_found,,,Not found in Crossref / PubMed
143,Response to “Unexplained high HIV-1 incidence in a cohort of Malawi men”: Letter to the Editor,"Kumwenda N, Taha TE, Celentano DD",2003,Sexually Transmitted Diseases,10.1097/00007435-200302000-00018,,,partial,https://doi.org/10.1097/00007435-200302000-00018,,Manual retrieval required - no open-access source found
144,The risk of infection in twin pairs born to HIV-1 infected mothers in Africa,"Biggar RJ, Cassol S, Kumwenda N, Lema Valentino, Janes M, Senzani V, Yellin F, Taha TE, Broadhead R",2003,Journal of Infectious Diseases,10.1086/377584,12964116,,full,https://doi.org/10.1086/377584,,Manual retrieval required - no open-access source found
145,"HIV-1 prevalence and herpes simplex virus 2, hepatitis C virus and hepatitis B virus infections among male workers at a Sugar Estate in Malawi","Sutcliffe S, Taha TE, Kumwenda N, Taylor E, Liomba GN",2002,Journal of Acquired Immune Deficiency Syndromes,10.1097/00126334-200209010-00012,12352155,,full,https://doi.org/10.1097/00126334-200209010-00012,,Manual retrieval required - no open-access source found
146,Antenatal vitamin A supplementation increases birth weight and decreases anemia among infants born to human immunodeficiency virus-infected women in Malawi,"Kumwenda N, Miotti PG, Taha TE, Broadhead R, Biggar RJ, Jackson B, Melikian G, Semba R",2002,Clinical Infectious Diseases,10.1086/342297,12173139,,full,https://doi.org/10.1086/342297,https://academic.oup.com/cid/article-pdf/35/5/618/1223175/35-5-618.pdf,PDF URL available
147,Three surveys of HIV-1prevalence and risk factors among men working at a Sugar Estate in Malawi,"Kumwenda NI, Taha TE, Hoover D, Markakis D, Liomba NG, Chiphangwi JD, Celentano DD",2002,Sexually Transmitted Diseases,10.1097/00007435-200206000-00010,12035028,,full,https://doi.org/10.1097/00007435-200206000-00010,,Manual retrieval required - no open-access source found
148,Effect of HIV-1 antiretroviral prophylaxis on hepatic and hematological parameters of African infants,"Taha TE, Kumwenda N, Gibbons A, Hoover D, Lema V, Fiscus S, Mukiibi J, Liomba G, Broadhead R",2002,AIDS,10.1097/00002030-200204120-00004,11919486,,full,https://doi.org/10.1097/00002030-200204120-00004,,Manual retrieval required - no open-access source found
149,Human immunodeficiency virus type 1 infection in twin pairs infected at birth,"Biggar RJ, Janes M, Pilon R, Roy R, Broadhead R, Kumwenda N, Taha TE, Cassol S",2002,Journal of Infectious Diseases,10.1086/341453,12134267,,full,https://doi.org/10.1086/341453,https://academic.oup.com/jid/article-pdf/186/2/281/18007486/186-2-281.pdf,PDF URL available
150,Viral levels in newborn African infants undergoing primary HIV-1 infection,"Biggar RJ, Kumwenda N, Broadhead R, Taha TE, Cormier M, Cassol S",2001,AIDS,10.1097/00002030-200107060-00015,11426078,,full,https://doi.org/10.1097/00002030-200107060-00015,,Manual retrieval required - no open-access source found
151,HIV Incidence Among Male Workers at a Sugar Estate in Rural Malawi,"Kumwenda NI, Taha TE, Hoover D, Markakis D, Liomba NG, Chiphangwi JD, Celentano DD",2001,Journal Acquired Immune Deficiency Syndromes and Human Retrovirology,10.1097/00042560-200106010-00016,,,partial,https://doi.org/10.1097/00042560-200106010-00016,,Manual retrieval required - no open-access source found
152,Impact of vitamin A supplementation on anaemia and plasma erythropoietin concentrations in pregnant women: a controlled clinical trial,"Semba RD, Kumwenda N, Taha TE, Mtimavalye L, Broadhead R, Garrett E, Miotti PG, Chiphangwi JD",2001,European Journal of Haematology,10.1034/j.1600-0609.2001.066006389.x,11488938,,full,https://doi.org/10.1034/j.1600-0609.2001.066006389.x,,Manual retrieval required - no open-access source found
153,Iron status and indicators of human immunodeficiency deficiency disease severity among pregnant women in Malawi,"Semba RD, Taha TE, Kumwenda N, Mtimavalye L, Broadhead R, Miotti PG, Chiphangwi JD",2001,Clinical Infectious Diseases,10.1086/320167,11317253,,full,https://doi.org/10.1086/320167,https://academic.oup.com/cid/article-pdf/32/10/1496/1267464/32-10-1496.pdf,PDF URL available
154,Phase 1 trial of the topical microbicide BufferGel: safety results from four international sites,"Van de Wijgert J, Fullem A, Kelly C, Mehendale S, Rugpao S, Kumwenda N, Chirenje Z, Joshi S, Taha T, Padian N, Bollinger R, Nelson K",2001,Journal Acquired Immune Deficiency Syndromes and Human Retrovirology,10.1097/00042560-200101010-00003,,,partial,https://doi.org/10.1097/00042560-200101010-00003,,Manual retrieval required - no open-access source found
155,Risk of HIV transmission through breastfeeding,"Miotti PG, Taha TET, Kumwenda NI, Van der Hoeven L, Broadhead R, Mtimavalye LAR, Chiphangwi JD, Liomba G, Biggar RJ",2000,JAMA,10.1001/jama.283.8.999-a,,,partial,https://doi.org/10.1001/jama.283.8.999-a,,Manual retrieval required - no open-access source found
156,Erythropoietin response to anemia among human immunodeficiency virus-infected infants in Malawi,"Semba RD, Broadhead R, Taha TE, Kumwenda Totin D, Ricks MO, Kumwenda N",2001,Haematologica,,,,not_found,,,Not found in Crossref / PubMed
157,Assessment of iron status using plasma transferrin receptor in pregnant women with and without human immunodeficiency virus infection in Malawi,"Semba RD, Kumwenda NI, Hoover DR, Taha TE, Lan Y, Mtimavalye L, Broadhead R, Eisinger W, Miotti P, Chiphangwi JD",2000,European Journal of Clinical Nutrition,10.1038/sj.ejcn.1601106,11114684,,full,https://doi.org/10.1038/sj.ejcn.1601106,,Manual retrieval required - no open-access source found
158,Plasma and breast milk vitamin A as indicators of vitamin A status in pregnant women,"Semba RD, Kumwenda N, Taha TE, Mtimavalye L, Broadhead R, Miotti P, Eisinger W, Hoover D, Chiphagwi JD",2000,International Journal for Vitamins and Nutrition Research,10.1024/0300-9831.70.6.271,11214351,,full,https://doi.org/10.1024/0300-9831.70.6.271,,Manual retrieval required - no open-access source found
159,Genital tract infections and perinatal transmission of HIV,"Taha TE, Gray RH",2000,Annals New York Academy of Sciences,10.1111/j.1749-6632.2000.tb05477.x,11131738,,full,https://doi.org/10.1111/j.1749-6632.2000.tb05477.x,,Manual retrieval required - no open-access source found
160,Morbidity among HIV-1 infected and uninfected African children,"Taha TE, Graham SM, Kumwenda NI, Broadhead RL, Hoover DR, Markakis D, Ven der Hoeven L, Liomba GN, Chiphangwi JD, Miotti PG",2000,Pediatrics,10.1542/peds.106.6.e77,11099620,,full,https://doi.org/10.1542/peds.106.6.e77,,Manual retrieval required - no open-access source found
161,Association of HIV-1 load and CD4+ lymphocyte with mortality in untreated African children older than one year,"Taha, TE, Kumwenda NI, Hoover DR, Biggar RJ, Broadhead RL, Cassol S, Ven der Hoeven L, Markakis D, Liomba GN, Chiphangwi JD, Miotti PG",2000,AIDS,10.1097/00002030-200003100-00021,10770550,,full,https://doi.org/10.1097/00002030-200003100-00021,,Manual retrieval required - no open-access source found
163,Mastitis and immunological factors in breastmilk of human immunodeficiency virus-infected women,"Semba RD, Kumwenda N, Taha TE, Hoover DR, Quinn TC, Yin Lan, Mtimavalye L, Broadhead R, Miotti PG, Ven der Hoeven L, Chiphangwi JD",1999,Journal of Human Lactation,10.1177/089033449901500407,10776180,,full,https://doi.org/10.1177/089033449901500407,,Manual retrieval required - no open-access source found
164,Virus levels in untreated African infants infected with human immunodeficiency virus type-1,"Biggar RJ, Janes M, Pilon R, Miotti P, Taha TET, Broadhead R, Mtimavalye L, Kumwenda N, Cassol S",1999,Journal of Infectious Diseases,10.1086/315122,10558939,,full,https://doi.org/10.1086/315122,,Manual retrieval required - no open-access source found
165,Predictors and impact of losses to follow-up in a HIV-1 perinatal transmission cohort in Malawi,"Ioaninidis JPA, Taha TE, Kumwenda N, Broadhead R, Mtimavalye L, Miotti P, Yellin F, Contoploulos-Ioannidis DG, Biggar RJ",1999,International Journal of Epidemiology,10.1093/ije/28.4.769,10480709,,full,https://doi.org/10.1093/ije/28.4.769,,Manual retrieval required - no open-access source found
166,HIV transmission from breastfeeding: a study from Malawi,"Miotti PG, Taha TE, Kumwenda NI, Broadhead R, Mtimavalye LAR, Ven der Hoeven L, Chiphangwi JD, Liomba G, Biggar RJ",1999,Journal of the American Medical Association,10.1097/00006254-200003000-00011,,,partial,https://doi.org/10.1097/00006254-200003000-00011,,Manual retrieval required - no open-access source found
167,Mortality after the first year of life among HIV infected and uninfected children,"Taha TE, Kumwenda NI, Broadhead RL, Hoover DR, Graham SM, Ven der Hoeven L, Markakis D, Liomba GN, Chiphangwi JD, Miotti PG",1999,Pedeatric Infectious Diseases Journal,10.1097/00006454-199908000-00007,10462337,,full,https://doi.org/10.1097/00006454-199908000-00007,,Manual retrieval required - no open-access source found
168,Plasma carotenoid concentrations in pregnant women with and without human immunodeficiency virus infection in Malawi,"Lan Y, Kumwenda N, Taha TE, Chiphangwi JD, Miotti P, Mtimavalye L, Justesen A, Broadhead R, Ven der Hoeven L, Hoover DR, Semba RD",1999,East African Medical Journal,,,,not_found,,,Not found in Crossref / PubMed
169,"Human immunodeficiency viral load in breastmilk, mastitis, and mother-to-child transmission of human immunodeficiency virus type 1","Semba RD, Kumwenda N, Hoover DR, Taha TE, Quinn TC, Mtimavalye L, Biggar RJ, Broadhead R, Miotti PG, Skoll L, Ven der Hoeven L, Chiphangwi JD",1999,Journal of Infectious Diseases,10.1086/314854,10353866,,full,https://doi.org/10.1086/314854,https://academic.oup.com/jid/article-pdf/180/1/93/17994605/180-1-93.pdf,PDF URL available
170,The effect of P. Falciparum malaria on HIV-1 RNA blood plasma concentration,"Hoffman IF, Jere C, Taylor T, Munthali P, Dyer J, Wirima JJ, Rogerson S, Kumwenda N, Fiscus S, Eron J, Chakraborty H, Taha TE, Molyneux M, Cohen MS",1999,AIDS,10.1097/00002030-199903110-00007,10197377,,full,https://doi.org/10.1097/00002030-199903110-00007,,Manual retrieval required - no open-access source found
171,HIV infection and disturbances of vaginal flora during pregnancy,"Taha TE, Gray RH, Kumwenda NI, Hoover DR, Mtimavalye LAR, Liomba GN, Chiphangwi JD, Dallabetta GA, Miotti PG",1999,Journal Acquired Immune Deficiency Syndromes and Human Retrovirology,10.1097/00042560-199901010-00008,9928730,,full,https://doi.org/10.1097/00042560-199901010-00008,,Manual retrieval required - no open-access source found
172,Bacterial vaginosis and disturbances of vaginal flora: association with increased acquisition of HIV,"Taha TE, Hoover DR, Dallabetta GA, Kumwenda NI, Mtimavalye LAR, Ping Yang L-P, Liomba GN, Broadhead RL, Chiphangwi JD, Miotti PG",1998,AIDS,10.1097/00002030-199813000-00019,9764791,,full,https://doi.org/10.1097/00002030-199813000-00019,,Manual retrieval required - no open-access source found
173,Trends of HIV-1 and sexually transmitted diseases among pregnant and postpartum women in urban Malawi,"Taha TE, Dallabetta GA, Hoover DR, Chiphangwi, J.D., Mtimavalye, L.A.R., Liomba, G., Kumwenda, N.I., Miotti, P.G",1998,AIDS,10.1097/00002030-199802000-00010,9468369,,full,https://doi.org/10.1097/00002030-199802000-00010,,Manual retrieval required - no open-access source found
175,Blood collection on filter paper: a practical approach to sample collection for large epidemiologic studies,"Biggar RJ, Miles W, Miotti PG, Taha TE, Butcher A, Spadero J, Waters D",1997,Journal Acquired Immune Deficiency Syndrome and Human Retrovirology,,,,not_found,,,Not found in Crossref / PubMed
176,"Does umbilical cord blood polymerase positivity indicate in-utero (pre-labor) HIV infection? AIDS 1997, 11:1375-1382","Biggar RJ, Mtimavalye L, Justesen A, Broadhead RL, Miley W, Waters D, Goedert JJ, Chiphangwi JD, Taha TE, Miotti PG",1997,AIDS,10.1097/00002030-199711000-00012,9302448,,full,https://doi.org/10.1097/00002030-199711000-00012,,Manual retrieval required - no open-access source found
177,Perinatal intervention trial in Africa: effect of a birth canal cleansing intervention to prevent HIV transmission,"Biggar RJ, Miotti PG, Taha TE, Mtimavalye LA, Broadhead RL, Justesen A, Liomba G, Yellin F, Miley W, Waters D, Chiphangwi JD, Goedert JJ",1996,Lancet,10.1016/s0140-6736(96)91486-5,8642957,,full,https://doi.org/10.1016/s0140-6736(96)91486-5,https://doi.org/10.1016/s0140-6736(96)91486-5,PDF URL available
178,Lack of association between reported condom use and rates of sexually transmitted diseases in Malawi,"Taha TE, Canner JK, Chiphangwi JD, Dallabetta GA, Yang L, Mtimavalye LAR, Miotti PG",1996,AIDS,,,,not_found,,,Not found in Crossref / PubMed
179,HIV maternal death and child survival in Africa,"Taha TE, Miotti PG, Liomba G, Dallabetta GA, Chiphangwi JD",1996,AIDS,10.1097/00002030-199601000-00021,8924243,,partial,https://doi.org/10.1097/00002030-199601000-00021,,Manual retrieval required - no open-access source found
180,Comparison of reported and confirmed malaria during pregnancy: findings from hospital and community studies in Sudan,Taha TE,1996,East African Medical Journal,,,,not_found,,,Not found in Crossref / PubMed
181,Longitudinal growth during the first 2 years of life in children born to HIV-infected mothers in Malawi,"Henderson R, Miotti, PG, Saavedra J, Dallabetta G, Chiphangwi J, Liomba G, Taha TE, Yolken RH",1996,Pediatric AIDS and HIV infection,,,,not_found,,,Not found in Crossref / PubMed
182,The effect of human immunodeficiency virus infection on birthweight and infant and child mortality in Malawi,"Taha TE, Dallabetta GA, Canner JK, Chiphangwi JD, Liomba G, Hoover DR, Miotti PG",1995,International Journal of Epidemiology,10.1093/ije/24.5.1022,8557435,,full,https://doi.org/10.1093/ije/24.5.1022,,Manual retrieval required - no open-access source found
183,Maternal-infant transmission of HIV,"Mtimavalye L, Biggar RJ, Taha TE, Chiphangwi JD",1995,New England Journal of Medicine,,,,not_found,,,Not found in Crossref / PubMed
184,Malaria and low birth weight,"Gray RH, Taha TE",1995,American Journal of Epidemiology,10.1093/oxfordjournals.aje.a116861,8356970,,full,https://doi.org/10.1093/oxfordjournals.aje.a116861,,Manual retrieval required - no open-access source found
185,Distribution and determinants of low birth weight in Central Sudan,"Taha, TE, Gray RH, Abdelwahab MM, Abdelhafeez A",1995,Paediatric and Perinatal Epidemiology,10.1093/oxfordjournals.aje.a116861,8356970,,full,https://doi.org/10.1093/oxfordjournals.aje.a116861,,Manual retrieval required - no open-access source found
186,Childhood malaria parasitemia and human immunodeficiency virus infection in Malawi,"Taha TE, Canner JK, Dallabetta GA, Chiphangwi JD, Liomba G, Wangel A-M, Saah AJ, Miotti PG",1994,Transactions of the Royal Society of Tropical Medicine and Hygiene,10.1016/0035-9203(94)90277-1,8036659,,full,https://doi.org/10.1016/0035-9203(94)90277-1,,Manual retrieval required - no open-access source found
187,"An intervention to reduce the risk of mother-to-infant HIV transmission: Results of a pilot ""toxicity"" study","Taha TE, Justesen A, Paterson K, Mtimavalye LAR., Munthali P, Canner JK, Broadhead, RL, Chiphangwi JD, Miotti PG, Biggar RJ",1994,East African Medical Journal,,,,not_found,,,Not found in Crossref / PubMed
188,Levels and determinants of perinatal mortality in Central Sudan,"Taha TE, Gray RH, Abdelwahab MM, Abdelhafeez AR, Abdelsalam AB",1994,International Journal of Gynecology and Obstetrics,10.1016/0020-7292(94)90117-1,7915678,,full,https://doi.org/10.1016/0020-7292(94)90117-1,,Manual retrieval required - no open-access source found
189,Predictors of upper gastrointestinal bleeding in patients with schistosomal peri-portal fibrosis,"Eltom IA, Taha TE, Saad AM, Suliman SM, Bennett JL, Nash TE, Homeida MM",1994,British Journal of Surgery,,,,not_found,,,Not found in Crossref / PubMed
190,Research on human immunodeficiency virus (HIV) in Malawi: The Johns Hopkins University- Ministry of Health (JHU-MOH) Project,"Taha TE, Canner JK, Wangel A-M, Chiphangwi JD, Liomba G, Miotti PG, Dallabetta GA, Saah AJ",1994,Malawi Medical Journal,,,,not_found,,,Not found in Crossref / PubMed
191,Malaria and low birth weight in Central Sudan,"Taha TE, Gray RH, Mohamedani AA",1993,The American Journal of Epidemiology,10.1093/oxfordjournals.aje.a116861,8356970,,full,https://doi.org/10.1093/oxfordjournals.aje.a116861,,Manual retrieval required - no open-access source found
192,Malaria and perinatal mortality in Central Sudan,"Taha TE, Gray RH",1993,The American Journal of Epidemiology,10.1093/oxfordjournals.aje.a116896,8237979,,full,https://doi.org/10.1093/oxfordjournals.aje.a116896,,Manual retrieval required - no open-access source found
193,Agricultural pesticide exposure and perinatal mortality in Central Sudan,"Taha TE, Gray RH",1993,Bulletin of the World Health Organization,,,,not_found,,,Not found in Crossref / PubMed
194,Family planning practice in Central Sudan,Taha TE,1993,Social Science and Medicine,10.1016/0277-9536(93)90108-g,8211283,,full,https://doi.org/10.1016/0277-9536(93)90108-g,,Manual retrieval required - no open-access source found
195,Determinants of neonatal mortality in Central Sudan,"Taha TE, Gray RH, Abdelwahab, M.M",1993,Annals of Tropical Paediatrics,10.1080/02724936.1993.11747671,7506883,,full,https://doi.org/10.1080/02724936.1993.11747671,,Manual retrieval required - no open-access source found
196,Maternal and infant anthropometric measurements in Sudan,Taha TE,1993,East African Medical Journal,,,,not_found,,,Not found in Crossref / PubMed
197,Indicators for monitoring progress in maternal and child health care in Africa,"Wallace HM, Taha TE",1988,Journal of Tropical Paediatrics,10.1093/tropej/34.4.158,3172324,,partial,https://doi.org/10.1093/tropej/34.4.158,,Manual retrieval required - no open-access source found
198,"Morbidity patterns in a new paediatric hospital in Juba, Sudan","Taha TE, Abdelwahab MM, Wallace HM",1986,"Child: Care, Health and Development",10.1111/j.1365-2214.1986.tb00491.x,3731397,,full,https://doi.org/10.1111/j.1365-2214.1986.tb00491.x,,Manual retrieval required - no open-access source found
199,Comparative epidemiological study of malaria between children of Northern and Southern Sudan,"Taha TE, Broadhead RL",1986,Journal of Tropical Paediatrics,10.1093/tropej/32.3.117,3746999,,partial,https://doi.org/10.1093/tropej/32.3.117,,Manual retrieval required - no open-access source found
200,"Malaria in primary school children in Juba, southern Sudan","Taha TE, Broadhead RL",1986,East African Medical Journal,,,,not_found,,,Not found in Crossref / PubMed
